path,filename,folder,format,size_mb,duration_sec,samplerate,channels,peak,rms_db,spectral_centroid_hz,attack_ms,decay_sec,is_oneshot,crest_factor,low_energy_ratio,high_energy_ratio,bwf_description,bwf_originator,ixml_description
344 Audio - Air Designed/AEROJet_Blast Off Clean_344 Audio_Air Designed.wav,AEROJet_Blast Off Clean_344 Audio_Air Designed,344 Audio - Air Designed,wav,4.827,8.736,96000,2,0.4713,-23.65,712.8,7130.0,1.41,False,7.17,0.452,0.0092,"Airplane, Air, Wind, Noise, Jet, Airforce, Travel, Vehicles, Action, Sci-FI",344 Audio,
344 Audio - Air Designed/AEROJet_Unidentified Encounter_344 Audio_Air Designed.wav,AEROJet_Unidentified Encounter_344 Audio_Air Designed,344 Audio - Air Designed,wav,32.051,58.036,96000,2,0.5501,-20.12,375.7,7915.0,22.085,False,5.58,0.542,0.0027,"Airplane, Air, Wind, Noise, Jet, Airforce, Travel, Vehicles, Action, Sci-FI",344 Audio,
344 Audio - Anime Fight Voices Vol. 1/VOXMale_Boxer Level Up 1_344 Audio_Anime Fight Voices.wav,VOXMale_Boxer Level Up 1_344 Audio_Anime Fight Voices,344 Audio - Anime Fight Voices Vol. 1,wav,2.874,5.2,96000,2,0.5454,-20.6,1040.8,5030.0,0.17,False,5.84,0.0206,0.006,"Anime, Voice, VOX, Fight, Combat, Battle, Man, Announcer, Boxer, Adventurer. Epic, Attack, Defense, Game, Warrior, Opponent, Grunt, Yell, Level Up,",344 Audio,
"344 Audio - Anime Fight Voices Vol. 1/VOXMale_Male Adventurer, Active Yell 19_344 Audio_Anime Fight Voices.wav","VOXMale_Male Adventurer, Active Yell 19_344 Audio_Anime Fight Voices",344 Audio - Anime Fight Voices Vol. 1,wav,0.247,0.444,96000,2,0.4777,-22.09,1476.6,210.0,0.215,True,6.08,0.0403,0.0175,"Anime, Voice, VOX, Fight, Combat, Battle, Man, Announcer, Boxer, Adventurer. Epic, Attack, Defense, Game, Warrior, Opponent, Grunt, Yell, Level Up,",344 Audio,
"344 Audio - Anime Fight Voices Vol. 1/VOXMale_Warrior Opponent Attack, 'Ai yah' 2_344 Audio_Anime Fight Voices.wav","VOXMale_Warrior Opponent Attack, 'Ai yah' 2_344 Audio_Anime Fight Voices",344 Audio - Anime Fight Voices Vol. 1,wav,0.51,0.919,96000,2,0.9446,-17.87,1337.3,610.0,0.27,False,7.39,0.0668,0.0185,"Anime, Voice, VOX, Fight, Combat, Battle, Man, Announcer, Boxer, Adventurer. Epic, Attack, Defense, Game, Warrior, Opponent, Grunt, Yell, Level Up,",344 Audio,
"344 Audio - Anime Fight Voices Vol. 2/VOXFem_Anime, Adult Warrior Breaths 40_344 Audio_Anime Fight Voices Vol 2.wav","VOXFem_Anime, Adult Warrior Breaths 40_344 Audio_Anime Fight Voices Vol 2",344 Audio - Anime Fight Voices Vol. 2,wav,0.506,0.913,96000,2,0.1872,-35.88,1378.0,85.0,0.725,True,11.64,0.3852,0.0681,"Anime, Voice, VOX, Vocal, Fight, Combat, Battle, Woman, Girl, Schoolgirl. Warrior, Slayer, Fighter. Epic, Attack, Defense, Game, Opponent, Grunt, Yell, Gasp, Grunt, Combat",344 Audio,
"344 Audio - Anime Fight Voices Vol. 2/VOXFem_Anime, Schoolgirl Fight Exhale 15_344 Audio_Anime Fight Voices Vol 2.wav","VOXFem_Anime, Schoolgirl Fight Exhale 15_344 Audio_Anime Fight Voices Vol 2",344 Audio - Anime Fight Voices Vol. 2,wav,0.369,0.665,96000,2,0.4274,-23.6,1187.3,90.0,0.42,True,6.47,0.2678,0.0391,"Anime, Voice, VOX, Vocal, Fight, Combat, Battle, Woman, Girl, Schoolgirl. Warrior, Slayer, Fighter. Epic, Attack, Defense, Game, Opponent, Grunt, Yell, Gasp, Grunt, Combat",344 Audio,
"344 Audio - Anime Fight Voices Vol. 2/VOXFem_Anime, Warrior Elf Princess Aggressive Yell_344 Audio_Anime Fight Voices Vol 2_14.wav","VOXFem_Anime, Warrior Elf Princess Aggressive Yell_344 Audio_Anime Fight Voices Vol 2_14",344 Audio - Anime Fight Voices Vol. 2,wav,0.886,1.6,96000,2,0.7048,-17.89,3147.8,475.0,0.77,False,5.53,0.0039,0.1306,"Anime, Voice, VOX, Vocal, Fight, Combat, Battle, Woman, Girl, Schoolgirl. Warrior, Slayer, Fighter. Epic, Attack, Defense, Game, Opponent, Grunt, Yell, Gasp, Grunt, Combat",344 Audio,
344 Audio - Antique Books/PAPRMisc_Antique Books Flicking Through Pages 11_344 Audio_Antiques - Books.wav,PAPRMisc_Antique Books Flicking Through Pages 11_344 Audio_Antiques - Books,344 Audio - Antique Books,wav,1.039,1.878,96000,2,0.1352,-43.79,1479.9,345.0,1.43,True,20.92,0.617,0.093,"Antique, Book, Paper, Page, Pile, Library, Flicking, Turning Page, Pages, Literature, Magic, Spells, Sorcery, Hard Back",344 AudioPro Tools,
344 Audio - Antique Books/PAPRMisc_Antique Books Slow Page Turns 6_344 Audio_Antiques - Books.wav,PAPRMisc_Antique Books Slow Page Turns 6_344 Audio_Antiques - Books,344 Audio - Antique Books,wav,7.595,13.75,96000,2,0.0806,-50.32,3010.3,4880.0,8.835,False,26.44,0.4568,0.2517,"Antique, Book, Paper, Page, Pile, Library, Pages, Literature, Magic, Spells, Sorcery, Hard Back, Turning, Turning Page, Page, Slow",344 AudioPro Tools,
344 Audio - Antique Books/PAPRMisc_Pile Of Antique Books Falling Over 8_344 Audio_Antiques - Books.wav,PAPRMisc_Pile Of Antique Books Falling Over 8_344 Audio_Antiques - Books,344 Audio - Antique Books,wav,1.546,2.796,96000,2,0.6565,-29.94,1925.9,920.0,0.275,False,20.62,0.7619,0.0788,"Antique, Book, Paper, Page, Pile, Library, Pages, Literature, Magic, Spells, Sorcery, Hard Back, Falling Down, Dropping",344 AudioPro Tools,
344 Audio - Antique Clocks/CLOCKTick_Crooked Antique Clock_344 Audio_Antique Clocks.wav,CLOCKTick_Crooked Antique Clock_344 Audio_Antique Clocks,344 Audio - Antique Clocks,wav,33.135,60.0,96000,2,0.4282,-41.45,1910.7,4060.0,0.125,False,50.62,0.7251,0.1154,"Antiques, Clocks, Time, Metronome, Tinkering, Watch, Clanking, Ticking, Tick tock, Countdown",344 Audio,
344 Audio - Antique Clocks/CLOCKTick_You're Running Late _344 Audio_Antique Clocks.wav,CLOCKTick_You're Running Late _344 Audio_Antique Clocks,344 Audio - Antique Clocks,wav,33.135,60.0,96000,2,0.5899,-34.88,3400.7,765.0,0.1,False,32.72,0.6263,0.2461,"Antiques, Clocks, Time, Metronome, Tinkering, Watch, Clanking, Ticking, Tick tock, Countdown",344 Audio,
"344 Audio - Antique Luggage/OBJLug_Rumaging Through Suitcase, Antique Suitcase_344 Audio_Antiques - Luggage_02.wav","OBJLug_Rumaging Through Suitcase, Antique Suitcase_344 Audio_Antiques - Luggage_02",344 Audio - Antique Luggage,wav,4.828,8.738,96000,2,0.4573,-34.89,886.8,6670.0,1.87,False,25.38,0.5084,0.0481,"Luggage, Bag, Baggage, Suitcase, Travel, Trip, Vintage, Old, Antique",344 Audio,
"344 Audio - Antique Luggage/OBJLug_Suitcase Being Locked, Antique Suitcase 1_344 Audio_Antiques - Luggage.wav","OBJLug_Suitcase Being Locked, Antique Suitcase 1_344 Audio_Antiques - Luggage",344 Audio - Antique Luggage,wav,5.037,9.117,96000,2,0.4526,-36.0,760.5,2240.0,3.37,False,28.55,0.7789,0.0332,"Luggage, Bag, Baggage, Suitcase, Travel, Trip, Vintage, Old, Antique",344 Audio,
"344 Audio - Antique Luggage/OBJLug_Suitcase Opening and Closing, Antique Suitcase_344 Audio_Antiques - Luggage_01.wav","OBJLug_Suitcase Opening and Closing, Antique Suitcase_344 Audio_Antiques - Luggage_01",344 Audio - Antique Luggage,wav,4.536,8.21,96000,2,0.5103,-31.36,3125.3,6575.0,0.57,False,18.86,0.6837,0.1307,"Luggage, Bag, Baggage, Suitcase, Travel, Trip, Vintage, Old, Antique, Opening, Closing",344 Audio,
344 Audio - Antique Small Metals/METLMvmt_  Antique Measuring Tape_344 Audio_Antique Small Metals.wav,METLMvmt_  Antique Measuring Tape_344 Audio_Antique Small Metals,344 Audio - Antique Small Metals,wav,0.381,0.686,96000,2,0.0629,-54.24,2172.4,420.0,0.23,False,32.44,0.6053,0.2604,"Antiques, Metals, Historical, Mechanical, ToolsTinkering, Movement, Small, Handling, Foley, Metal, Steel, Iron, Brass, Rust, Rusty",344 Audio,
344 Audio - Antique Small Metals/METLMvmt_  Opening Lid Of Antique Blowtorch_344 Audio_Antique Small Metals.wav,METLMvmt_  Opening Lid Of Antique Blowtorch_344 Audio_Antique Small Metals,344 Audio - Antique Small Metals,wav,0.803,1.449,96000,2,0.4255,-37.04,1957.8,300.0,0.41,True,30.25,0.4025,0.1749,"Antiques, Metals, Historical, Mechanical, ToolsTinkering, Movement, Small, Handling, Foley, Metal, Steel, Iron, Brass, Rust, Rusty",344 Audio,
344 Audio - Antique Small Metals/METLMvmt_  Tinkering Antique Lock_344 Audio_Antique Small Metals.wav,METLMvmt_  Tinkering Antique Lock_344 Audio_Antique Small Metals,344 Audio - Antique Small Metals,wav,2.238,4.049,96000,2,0.3387,-42.87,1000.3,3310.0,0.51,False,47.12,0.4982,0.0554,"Antiques, Metals, Historical, Mechanical, ToolsTinkering, Movement, Small, Handling, Foley, Metal, Steel, Iron, Brass, Rust, Rusty",344 Audio,
344 Audio - Antique Telephone/COMTelph_Antique Telephone Ear Piece Falling Down_344 Audio_Antiques - Telephone_03.wav,COMTelph_Antique Telephone Ear Piece Falling Down_344 Audio_Antiques - Telephone_03,344 Audio - Antique Telephone,wav,0.695,1.255,96000,2,0.1567,-37.17,1661.6,450.0,0.715,False,11.32,0.7433,0.0738,"Telephone, Bell's Telephone, Phone, Phonecall, Analogue, Rotary, Rotary Phone, Rotary Telephone, Analogue Telephone, Analogue Phone, Dialling, Rotary Dials, Vintage, Old",344 Audio,
344 Audio - Antique Telephone/COMTelph_Antique Telephone Pick Up & Drop Ear Piece_344 Audio_Antiques - Telephone_05.wav,COMTelph_Antique Telephone Pick Up & Drop Ear Piece_344 Audio_Antiques - Telephone_05,344 Audio - Antique Telephone,wav,1.778,3.217,96000,2,0.5357,-37.63,3490.1,2495.0,0.705,False,40.79,0.5175,0.1585,"Telephone, Bell's Telephone, Phone, Phonecall, Analogue, Rotary, Rotary Phone, Rotary Telephone, Analogue Telephone, Analogue Phone, Dialling, Rotary Dials, Vintage, Old",344 Audio,
